dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
amazon,HMT-HM[3b],cold_start_user,hr@5,140,0.4928571428571429,0.5357142857142857,-0.04285714285714286,-0.12142857142857143,0.03571428571428571,0.3208,ns,0.3564444444444444,ns
amazon,HMT-HM[3b],cold_start_item,ndcg@5,148,0.37136597940291827,0.40344845185819755,-0.03208247245527924,-0.09240424727073283,0.025618860808791832,0.2684,ns,0.3500869565217392,ns
amazon,HMT-HM[3b],cold_start_item,hr@5,148,0.49324324324324326,0.5472972972972973,-0.05405405405405406,-0.13513513513513514,0.02702702702702703,0.2292,ns,0.27503999999999995,ns
amazon,HMT-HM[3b],evolving_interest,ndcg@5,131,0.3275618163818003,0.373711667924825,-0.04614985154302474,-0.09915093375981378,0.008302604611885662,0.0928,ns,0.14652631578947367,ns
amazon,HMT-HM[3b],evolving_interest,hr@5,131,0.4198473282442748,0.5190839694656488,-0.09923664122137404,-0.17557251908396945,-0.022900763358778626,0.018,hurts*,0.029999999999999995,hurts*
amazon,HMT-HM[3b],POOLED,ndcg@5,795,0.3529005759783059,0.38036128204441394,-0.02746070606610807,-0.05177276736077861,-0.0037415627224234795,0.0252,hurts*,0.0504,ns
amazon,HMT-HM[3b],POOLED,hr@5,795,0.4779874213836478,0.5320754716981132,-0.05408805031446541,-0.0880503144654088,-0.021383647798742137,0.002,hurts*,0.004615384615384615,hurts*
amazon,HMT-HM[7b],classic,ndcg@5,376,0.37348440146541606,0.4287212647309399,-0.05523686326552397,-0.09601958769413867,-0.013733114721280219,0.01,hurts*,0.023076923076923075,hurts*
amazon,HMT-HM[7b],classic,hr@5,376,0.5478723404255319,0.648936170212766,-0.10106382978723404,-0.1595744680851064,-0.04521276595744681,0.0008,hurts*,0.002181818181818182,hurts*
amazon,HMT-HM[7b],cold_start_user,ndcg@5,140,0.4200962768696423,0.4049894578039217,0.015106819065720556,-0.043746600329472994,0.0766096000066985,0.6176,ns,0.6388965517241381,ns
amazon,HMT-HM[7b],cold_start_user,hr@5,140,0.5928571428571429,0.6071428571428571,-0.014285714285714285,-0.1,0.07142857142857142,0.7944,ns,0.7944,ns
amazon,HMT-HM[7b],cold_start_item,ndcg@5,148,0.3851428011604263,0.42382683840458973,-0.038684037244163416,-0.10992326310840898,0.029510485357408064,0.2616,ns,0.3500869565217392,ns
amazon,HMT-HM[7b],cold_start_item,hr@5,148,0.5675675675675675,0.6621621621621622,-0.0945945945945946,-0.19594594594594594,0.006756756756756757,0.0772,ns,0.11028571428571429,ns
amazon,HMT-HM[7b],evolving_interest,ndcg@5,131,0.4054032871123444,0.5170992280000563,-0.11169594088771188,-0.1783911102010043,-0.04501834658775229,0.0012,hurts*,0.004,hurts*
amazon,HMT-HM[7b],evolving_interest,hr@5,131,0.5954198473282443,0.7404580152671756,-0.1450381679389313,-0.24427480916030533,-0.04580152671755725,0.0052,hurts*,0.0104,hurts*
amazon,HMT-HM[7b],POOLED,ndcg@5,795,0.3891227407499453,0.4381938246330429,-0.049071083883097576,-0.07742637204819192,-0.020725429673541452,0.0004,hurts*,0.0017142857142857144,hurts*
amazon,HMT-HM[7b],POOLED,hr@5,795,0.5672955974842767,0.6591194968553459,-0.09182389937106918,-0.13081761006289308,-0.05408805031446541,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[1.5b],classic,ndcg@5,400,0.30717299879657456,0.3914129104535667,-0.08423991165699217,-0.12306758773376904,-0.046572551745457144,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[1.5b],classic,hr@5,400,0.4575,0.625,-0.1675,-0.225,-0.11,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[1.5b],cold_start_user,ndcg@5,239,0.3357940936141762,0.42216250379022785,-0.08636841017605165,-0.13774025259133266,-0.03758575935670809,0.0008,hurts*,0.003,hurts*
goodreads,HMT-HM[1.5b],cold_start_user,hr@5,239,0.4895397489539749,0.6527196652719666,-0.16317991631799164,-0.23430962343096234,-0.0919456066945622,0.0,hurts*,0.0,hurts*
